title,author,journal,cites,year,cid,pubid,first,url
"Impacts of fishing, river flow and connectivity loss on the conservation of a migratory fish population","HY Lin, CJ Brown, RG Dwyer, DJ Harding, DT Roberts, RA Fuller, S Linke, ...",Aquatic Conservation: Marine and Freshwater Ecosystems,0,In press,NA,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Logging degrades nursery habitat for an iconic coral reef fish,"RJ Hamilton, GR Almany, CJ Brown, J Pita, NA Peterson, JH Choat",Biological Conservation,3,2017,8.02861E+18,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Ecosystem modelling to quantify the impact of historical whaling on Southern Hemisphere baleen whales,"VJD Tulloch, Ã‰E PlagÃ¡nyi, R Matear, CJ Brown, AJ Richardson",Fish and Fisheries,1,2017,1.54446E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Tracing the influence of land-use change on water quality and coral reefs using a Bayesian model,"CJ Brown, SD Jupiter, S Albert, CJ Klein, S Mangubhai, JM Maina, ...",Scientific Reports,1,2017,6.6143E+18,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
"Managing consequences of climateâ€êdriven species redistribution requires integration of ecology, conservation and social science","TC Bonebrake, CJ Brown, JD Bell, JL Blanchard, A Chauvenet, ...",Biological Reviews,1,2017,1.07015E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
"From Marxan to management: ocean zoning with stakeholders for Tun Mustapha Park in Sabah, Malaysia","R Jumin, A Binson, J McGowan, S Magupin, M Beger, CJ Brown, ...",Oryx,1,2017,5.64852E+18,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Species traits and connectivity constrain stochastic community re-assembly,"RE Holt, CJ Brown, TA Schlacher, F Sheldon, SR Balcombe, RM Connolly",Scientific Reports,0,2017,NA,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Habitat change mediates the response of coral reef fish populations to terrestrial run-off,"CJ Brown, SD Jupiter, HY Lin, S Albert, C Klein, JM Maina, VJD Tulloch, ...",Marine Ecology Progress Series,0,2017,NA,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Trade-offs in triple-bottom-line outcomes when recovering fisheries,"CJ Brown, G Althor, BS Halpern, MS Iftekhar, CJ Klein, S Linke, EC Pryde, ...",Fish and Fisheries,0,2017,NA,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Impact of anthropogenic disturbances on a diverse riverine fish assemblage in Fiji predicted by functional traits,"HY Lin, SD Jupiter, AP Jenkins, CJ Brown",Freshwater Biology,0,2017,NA,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
