date,Q,pic_num,oysters_live,oysters_dead,substrate,fucus,macrocarpus,ulva,algae_other,bare,notes
4/09/2015,1,3637.0,0,0,cc,1,1,1,3,2,NA
4/09/2015,2,3638.0,0,0,cc,1,0,4,1,0,NA
4/09/2015,3,3641.0,1,1,cc,1,1,0,2,3,"added this pic_num 12-11-2016, was assumed to be 3639 that photo missing"
4/09/2015,4,3642.0,0,0,cc,2,1,0,1,2,NA
4/09/2015,5,3643.0,0,0,cc,1,1,0,4,1,NA
4/09/2015,6,3644.0,0,0,cc,1,1,0,2,3,NA
4/09/2015,7,3645.0,0,0,cc,1,1,0,1,4,NA
4/09/2015,8,3646.0,0,0,ls,1,1,0,1,4,NA
4/09/2015,9,3647.0,0,0,cc,2,1,0,1,4,in tide pool
4/09/2015,10,3648.0,0,0,cc,1,1,0,4,0,NA
4/09/2015,11,3650.0,3,1,cc,1,1,1,4,1,NA
4/09/2015,12,3652.0,0,0,cc,0,0,0,0,4,NA
4/09/2015,13,3653.0,23,1,cc,2,1,0,1,2,NA
4/09/2015,14,3656.0,0,1,cc,2,1,0,0,2,NA
4/09/2015,15,3657.0,0,0,cc,1,1,0,0,4,NA
4/09/2015,16,3658.0,4,0,cc,3,1,0,4,1,NA
4/09/2015,17,3659.0,0,0,cc,3,1,1,3,2,NA
4/09/2015,18,3660.0,0,1,cc,4,1,0,1,1,NA
4/09/2015,19,3662.0,1,0,cc,4,1,1,2,0,NA
4/09/2015,20,3665.0,13,1,cc,4,1,0,1,0,NA
4/09/2015,21,3666.0,18,4,cc,4,0,0,1,1,NA
4/09/2015,22,3668.0,0,0,lc,0,0,0,2,4,NA
4/09/2015,23,3671.0,10,3,cc,3,1,0,2,1,NA
4/09/2015,24,3672.0,18,1,cc,3,1,0,1,2,NA
4/09/2015,25,3673.0,6,2,cc,1,1,0,1,4,NA
4/09/2015,26,3675.0,1,0,cc,1,0,1,2,2,NA
4/09/2015,27,3677.0,2,1,cc,4,0,0,1,1,NA
4/09/2015,28,3678.0,0,0,cc,4,1,0,1,1,NA
4/09/2015,29,3679.0,0,1,cc,1,1,1,1,3,some loose shell also
4/09/2015,30,3680.0,0,0,cc,2,1,0,0,3,NA
4/09/2015,31,3681.0,0,0,cc,0,0,0,4,1,NA
4/09/2015,32,3682.0,0,0,cc,3,1,1,0,1,NA
4/09/2015,33,3684.0,0,0,cc,1,1,0,1,2,NA
4/09/2015,34,3685.0,0,0,cc,2,0,1,0,3,NA
4/09/2015,35,3686.0,0,0,cc,1,0,2,2,2,NA
4/09/2015,36,3687.0,0,0,cc,4,0,1,2,0,NA
4/09/2015,37,3688.0,1,0,cc,1,1,0,0,4,some loose shell also
4/09/2015,38,3689.0,1,0,cc,1,0,4,1,2,NA
5/09/2015,39,3691.0,0,0,cc,3,0,3,1,1,NA
5/09/2015,40,3692.0,0,0,cc,1,0,4,2,1,NA
5/09/2015,41,3693.0,0,0,cc,2,0,1,2,0,NA
5/09/2015,42,3694.0,0,0,cc,0,0,1,4,1,NA
5/09/2015,43,3696.0,0,0,cc,1,0,1,4,2,NA
5/09/2015,44,3697.0,0,0,cc,4,0,2,2,1,NA
5/09/2015,45,3698.0,0,0,cc,4,0,1,0,1,NA
5/09/2015,46,3699.0,0,0,cc,1,0,2,4,0,NA
5/09/2015,47,3700.0,3,0,cc,2,1,1,1,2,NA
5/09/2015,48,3701.0,0,0,cc,1,0,3,2,0,NA
5/09/2015,49,3702.0,6,0,cc,1,2,0,0,4,NA
5/09/2015,50,3703.0,1,0,cc,1,1,0,0,4,NA
5/09/2015,51,3704.0,2,2,cc,2,1,0,0,3,NA
5/09/2015,52,3705.0,20,2,cc,1,1,0,0,4,NA
5/09/2015,53,3706.0,31,2,cc,1,1,1,0,4,NA
5/09/2015,54,3707.0,0,0,cc,2,1,0,0,3,NA
5/09/2015,55,3708.0,0,0,s,3,1,1,0,2,NA
5/09/2015,56,3709.0,2,0,cc,1,1,1,1,3,NA
5/09/2015,57,3710.0,8,1,cc,1,1,2,2,1,counted 5 recruits in addition to the 8 live oysters
5/09/2015,58,3711.0,22,2,cc,2,1,1,1,2,counted 4 recruits in addition to the 8 live oysters
5/09/2015,59,3712.0,0,0,lc,0,0,0,0,4,NA
5/09/2015,60,3713.0,17,3,cc,4,2,0,0,1,counted 1 recruit in addition to the 8 live oysters
5/09/2015,61,3714.0,12,2,cc,4,1,0,0,1,NA
5/09/2015,62,3715.0,34,4,cc,2,1,1,0,1,NA
5/09/2015,63,3716.0,2,0,lc,0,0,0,2,4,NA
5/09/2015,64,3717.0,0,0,s,0,0,4,1,1,NA
5/09/2015,65,3719.0,0,1,lc,0,0,1,2,2,NA
5/09/2015,66,3722.0,30,2,cc,1,1,0,0,4,NA
5/09/2015,67,3724.0,2,0,cc,1,1,0,0,4,NA
5/09/2015,68,3726.0,2,2,cc,1,1,0,0,3,NA
5/09/2015,69,3727.0,1,0,cc,1,1,0,2,2,NA
5/09/2015,70,3728.0,1,0,cc,4,1,0,0,1,NA
5/09/2015,71,3730.0,58,17,cc,2,1,0,0,2,NA
5/09/2015,72,3733.0,13,4,c,0,0,0,1,4,NA
